User ID,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20
13,muffins,eggs,cookies,,,,,,,,,,,,,,,,,
60,cookies,,,,,,,,,,,,,,,,,,,
28,frozen vegetables,whole wheat pasta,ground beef,spaghetti,chocolate,green tea,,,,,,,,,,,,,,
22,mineral water,barbecue sauce,chocolate,,,,,,,,,,,,,,,,,
53,burgers,herb & pepper,energy bar,almonds,eggs,corn,mayonnaise,zucchini,,,,,,,,,,,,
23,turkey,burgers,ground beef,chocolate,soup,almonds,eggs,hot dogs,cottage cheese,,,,,,,,,,,
61,ham,spaghetti,chocolate,eggs,,,,,,,,,,,,,,,,
74,ground beef,energy bar,pet food,carrots,protein bar,,,,,,,,,,,,,,,
75,ground beef,tomato sauce,spaghetti,mineral water,almonds,eggs,,,,,,,,,,,,,,
99,mineral water,olive oil,gums,cooking oil,,,,,,,,,,,,,,,,
16,shrimp,pasta,mineral water,soup,avocado,milk,olive oil,green grapes,eggs,bug spray,,,,,,,,,,
54,shrimp,pasta,soup,cake,cooking oil,chicken,light mayo,low fat yogurt,,,,,,,,,,,,
61,spaghetti,mineral water,chocolate,french fries,champagne,escalope,mushroom cream sauce,fresh bread,,,,,,,,,,,,
35,shrimp,pasta,mineral water,eggs,,,,,,,,,,,,,,,,
52,burgers,oil,tomato juice,fresh bread,,,,,,,,,,,,,,,,
18,french wine,eggs,chocolate,low fat yogurt,,,,,,,,,,,,,,,,
31,chicken,eggs,french fries,pancakes,,,,,,,,,,,,,,,,
97,turkey,herb & pepper,salmon,white wine,candy bars,,,,,,,,,,,,,,,
86,grated cheese,spaghetti,olive oil,eggs,french fries,green tea,,,,,,,,,,,,,,
65,mineral water,energy bar,,,,,,,,,,,,,,,,,,
25,eggs,french fries,,,,,,,,,,,,,,,,,,
71,burgers,tomatoes,mineral water,soup,milk,almonds,eggs,chocolate,tomato juice,,,,,,,,,,,
77,muffins,,,,,,,,,,,,,,,,,,,
55,pasta,,,,,,,,,,,,,,,,,,,
18,tomatoes,spaghetti,frozen smoothie,,,,,,,,,,,,,,,,,
22,ground beef,spaghetti,milk,,,,,,,,,,,,,,,,,
69,french fries,,,,,,,,,,,,,,,,,,,
79,chocolate,milk,,,,,,,,,,,,,,,,,,
52,burgers,shrimp,pasta,frozen vegetables,spaghetti,mineral water,milk,eggs,chocolate,french fries,pancakes,low fat yogurt,,,,,,,,
20,ground beef,mineral water,antioxydant juice,protein bar,,,,,,,,,,,,,,,,
73,grated cheese,whole wheat pasta,ground beef,spaghetti,cake,energy drink,,,,,,,,,,,,,,
82,grated cheese,,,,,,,,,,,,,,,,,,,
48,pancakes,,,,,,,,,,,,,,,,,,,
95,frozen smoothie,,,,,,,,,,,,,,,,,,,
92,carrots,green tea,,,,,,,,,,,,,,,,,,
21,chocolate,,,,,,,,,,,,,,,,,,,
59,turkey,burgers,chocolate,olive oil,eggs,cooking oil,corn,,,,,,,,,,,,,
42,frozen vegetables,tomatoes,pepper,spaghetti,mineral water,pancakes,chicken,chili,tea,french fries,tomato juice,fresh bread,,,,,,,,
86,cookies,,,,,,,,,,,,,,,,,,,
1,ground beef,,,,,,,,,,,,,,,,,,,
28,turkey,eggs,chocolate,frozen smoothie,tomato juice,,,,,,,,,,,,,,,
44,frozen vegetables,cooking oil,mashed potato,,,,,,,,,,,,,,,,,
64,frozen vegetables,ground beef,tomato sauce,mineral water,meatballs,olive oil,light cream,tomato juice,,,,,,,,,,,,
87,red wine,spaghetti,mineral water,soup,milk,eggs,cake,gums,cooking oil,chocolate,frozen smoothie,,,,,,,,,
92,chocolate,tomatoes,spaghetti,mineral water,avocado,milk,olive oil,eggs,rice,french fries,brownies,,,,,,,,,
77,chocolate,shrimp,pasta,frozen vegetables,ground beef,mineral water,nonfat milk,eggs,,,,,,,,,,,,
97,turkey,shrimp,pasta,pepper,spaghetti,mineral water,eggs,chicken,french fries,,,,,,,,,,,
1,cookies,,,,,,,,,,,,,,,,,,,
45,turkey,tomatoes,cake,,,,,,,,,,,,,,,,,
93,yams,mineral water,soup,milk,pancakes,whole wheat rice,barbecue sauce,carrots,chocolate,champagne,,,,,,,,,,
10,rice,,,,,,,,,,,,,,,,,,,
20,chocolate,milk,,,,,,,,,,,,,,,,,,
2,shrimp,pasta,frozen vegetables,water spray,,,,,,,,,,,,,,,,
55,burgers,mineral water,milk,eggs,whole wheat rice,mint,,,,,,,,,,,,,,
48,mineral water,vegetables mix,cake,frozen smoothie,brownies,,,,,,,,,,,,,,,
100,cookies,,,,,,,,,,,,,,,,,,,
96,shrimp,pasta,chicken,chocolate bread,,,,,,,,,,,,,,,,
76,shallot,,,,,,,,,,,,,,,,,,,
84,shrimp,pasta,spaghetti,eggs,hot dogs,green tea,,,,,,,,,,,,,,
91,burgers,,,,,,,,,,,,,,,,,,,
66,red wine,ground beef,spaghetti,mineral water,milk,olive oil,strong cheese,light cream,cooking oil,,,,,,,,,,,
46,burgers,grated cheese,spaghetti,avocado,milk,oil,french fries,,,,,,,,,,,,,
82,herb & pepper,whole wheat pasta,ground beef,mineral water,olive oil,,,,,,,,,,,,,,,
28,shrimp,pasta,yams,milk,chocolate,,,,,,,,,,,,,,,
36,butter,green tea,,,,,,,,,,,,,,,,,,
24,light mayo,,,,,,,,,,,,,,,,,,,
79,low fat yogurt,,,,,,,,,,,,,,,,,,,
12,herb & pepper,shrimp,pasta,spaghetti,milk,,,,,,,,,,,,,,,
2,burgers,eggs,,,,,,,,,,,,,,,,,,
21,turkey,herb & pepper,ground beef,soup,avocado,milk,black tea,eggs,barbecue sauce,carrots,cookies,tomato juice,fresh bread,,,,,,,
51,cookies,,,,,,,,,,,,,,,,,,,
36,escalope,,,,,,,,,,,,,,,,,,,
52,pepper,french fries,strawberries,pancakes,low fat yogurt,,,,,,,,,,,,,,,
3,frozen vegetables,yams,chicken,honey,light mayo,,,,,,,,,,,,,,,
79,chocolate,champagne,,,,,,,,,,,,,,,,,,
25,herb & pepper,honey,cake,rice,protein bar,,,,,,,,,,,,,,,
80,burgers,chocolate,frozen vegetables,ground beef,mineral water,milk,light mayo,asparagus,,,,,,,,,,,,
15,chocolate,mineral water,corn,cottage cheese,green tea,,,,,,,,,,,,,,,
81,muffins,,,,,,,,,,,,,,,,,,,
59,ham,french wine,escalope,,,,,,,,,,,,,,,,,
10,spaghetti,milk,whole wheat rice,mint green tea,,,,,,,,,,,,,,,,
37,chocolate,body spray,,,,,,,,,,,,,,,,,,
59,frozen vegetables,french fries,hot dogs,,,,,,,,,,,,,,,,,
79,candy bars,,,,,,,,,,,,,,,,,,,
1,burgers,shrimp,pasta,milk,green tea,french fries,cookies,white wine,,,,,,,,,,,,
7,parmesan cheese,ground beef,,,,,,,,,,,,,,,,,,
26,pancakes,whole wheat rice,candy bars,,,,,,,,,,,,,,,,,
81,eggs,eggplant,cookies,,,,,,,,,,,,,,,,,
71,frozen vegetables,mineral water,,,,,,,,,,,,,,,,,,
3,chocolate,,,,,,,,,,,,,,,,,,,
77,turkey,spaghetti,milk,whole wheat rice,chocolate,,,,,,,,,,,,,,,
79,whole wheat pasta,ground beef,spaghetti,soup,meatballs,chicken,blueberries,cooking oil,champagne,yogurt cake,protein bar,,,,,,,,,
5,cooking oil,tomato juice,,,,,,,,,,,,,,,,,,
61,frozen vegetables,milk,eggs,french fries,green tea,,,,,,,,,,,,,,,
69,fresh tuna,spaghetti,olive oil,french wine,eggs,french fries,champagne,pancakes,light mayo,,,,,,,,,,,
29,red wine,honey,hot dogs,,,,,,,,,,,,,,,,,
18,milk,bacon,eggs,french fries,fresh bread,,,,,,,,,,,,,,,
67,french fries,yogurt cake,,,,,,,,,,,,,,,,,,
87,milk,,,,,,,,,,,,,,,,,,,
68,french fries,,,,,,,,,,,,,,,,,,,
65,chocolate,,,,,,,,,,,,,,,,,,,
36,burgers,ham,red wine,,,,,,,,,,,,,,,,,
98,shrimp,pasta,tomatoes,energy bar,french wine,antioxydant juice,french fries,frozen smoothie,brownies,,,,,,,,,,,
90,green tea,,,,,,,,,,,,,,,,,,,
33,low fat yogurt,,,,,,,,,,,,,,,,,,,
6,turkey,spaghetti,mineral water,soup,spinach,soda,energy drink,salt,,,,,,,,,,,,
67,turkey,eggs,,,,,,,,,,,,,,,,,,
91,bug spray,hot dogs,,,,,,,,,,,,,,,,,,
16,oil,,,,,,,,,,,,,,,,,,,
9,soup,energy bar,chicken,eggs,cake,french fries,body spray,strawberries,,,,,,,,,,,,
50,spaghetti,chocolate,yogurt cake,,,,,,,,,,,,,,,,,
77,turkey,mineral water,meatballs,,,,,,,,,,,,,,,,,
80,ground beef,mineral water,chocolate,fromage blanc,bacon,hot dogs,,,,,,,,,,,,,,
29,frozen vegetables,mineral water,vegetables mix,escalope,,,,,,,,,,,,,,,,
79,herb & pepper,red wine,tomatoes,,,,,,,,,,,,,,,,,
66,whole wheat pasta,olive oil,cereals,brownies,green tea,,,,,,,,,,,,,,,
98,cookies,,,,,,,,,,,,,,,,,,,
52,olive oil,cookies,mushroom cream sauce,,,,,,,,,,,,,,,,,
20,ground beef,pancakes,cooking oil,gluten free bar,light mayo,,,,,,,,,,,,,,,
79,mineral water,french fries,,,,,,,,,,,,,,,,,,
62,herb & pepper,,,,,,,,,,,,,,,,,,,
76,salmon,,,,,,,,,,,,,,,,,,,
6,eggs,escalope,,,,,,,,,,,,,,,,,,
74,mineral water,tomato juice,,,,,,,,,,,,,,,,,,
2,mineral water,,,,,,,,,,,,,,,,,,,
83,shrimp,mineral water,soup,black tea,,,,,,,,,,,,,,,,
5,cake,frozen smoothie,,,,,,,,,,,,,,,,,,
76,turkey,burgers,grated cheese,tomatoes,chocolate,fromage blanc,honey,whole wheat rice,,,,,,,,,,,,
73,frozen vegetables,ground beef,mineral water,olive oil,pancakes,,,,,,,,,,,,,,,
31,turkey,burgers,ground beef,milk,olive oil,cake,fresh bread,,,,,,,,,,,,,
72,whole wheat pasta,ground beef,spaghetti,yams,mineral water,soup,chutney,cereals,energy drink,protein bar,,,,,,,,,,
22,eggs,whole wheat rice,cake,green tea,escalope,,,,,,,,,,,,,,,
95,ground beef,yams,soup,avocado,salmon,green tea,,,,,,,,,,,,,,
49,milk,,,,,,,,,,,,,,,,,,,
10,spaghetti,chocolate,,,,,,,,,,,,,,,,,,
36,whole wheat pasta,honey,,,,,,,,,,,,,,,,,,
98,whole wheat pasta,green tea,,,,,,,,,,,,,,,,,,
7,spaghetti,meatballs,vegetables mix,chocolate,,,,,,,,,,,,,,,,
71,eggs,low fat yogurt,,,,,,,,,,,,,,,,,,
99,fresh tuna,shrimp,pasta,mineral water,olive oil,eggs,cake,brownies,tomato juice,,,,,,,,,,,
55,mineral water,green grapes,hot dogs,fresh bread,,,,,,,,,,,,,,,,
90,frozen vegetables,meatballs,eggs,chocolate,,,,,,,,,,,,,,,,
13,chocolate,,,,,,,,,,,,,,,,,,,
10,meatballs,milk,,,,,,,,,,,,,,,,,,
34,low fat yogurt,,,,,,,,,,,,,,,,,,,
16,green tea,,,,,,,,,,,,,,,,,,,
59,escalope,pasta,,,,,,,,,,,,,,,,,,
48,pepper,chocolate,olive oil,french wine,salmon,rice,light mayo,fresh bread,magazines,,,,,,,,,,,
24,red wine,french wine,vegetables mix,rice,clothes accessories,hot dogs,green tea,,,,,,,,,,,,,
73,burgers,dessert wine,spaghetti,chicken,cake,protein bar,green tea,,,,,,,,,,,,,
40,french wine,cake,fresh bread,,,,,,,,,,,,,,,,,
62,burgers,frozen vegetables,flax seed,eggs,,,,,,,,,,,,,,,,
65,red wine,,,,,,,,,,,,,,,,,,,
82,pepper,mineral water,energy bar,green grapes,,,,,,,,,,,,,,,,
33,milk,eggs,cake,chocolate,french fries,green tea,,,,,,,,,,,,,,
29,french fries,,,,,,,,,,,,,,,,,,,
17,almonds,,,,,,,,,,,,,,,,,,,
73,burgers,mineral water,green tea,,,,,,,,,,,,,,,,,
32,milk,pancakes,,,,,,,,,,,,,,,,,,
68,pancakes,eggs,salt,tomato juice,,,,,,,,,,,,,,,,
20,mineral water,,,,,,,,,,,,,,,,,,,
30,ham,spaghetti,mineral water,olive oil,,,,,,,,,,,,,,,,
12,salt,tomato juice,fresh bread,,,,,,,,,,,,,,,,,
63,spaghetti,mushroom cream sauce,,,,,,,,,,,,,,,,,,
45,spaghetti,mineral water,eggs,pet food,,,,,,,,,,,,,,,,
82,frozen vegetables,spaghetti,,,,,,,,,,,,,,,,,,
63,energy drink,,,,,,,,,,,,,,,,,,,
96,muffins,,,,,,,,,,,,,,,,,,,
64,turkey,milk,,,,,,,,,,,,,,,,,,
99,cookies,,,,,,,,,,,,,,,,,,,
76,chocolate,,,,,,,,,,,,,,,,,,,
22,spaghetti,mineral water,eggs,cooking oil,chocolate,escalope,,,,,,,,,,,,,,
6,shrimp,frozen vegetables,pepper,spaghetti,green tea,,,,,,,,,,,,,,,
17,burgers,fresh tuna,red wine,mineral water,french fries,hand protein bar,low fat yogurt,,,,,,,,,,,,,
86,pancakes,eggs,energy drink,fresh bread,,,,,,,,,,,,,,,,
87,strong cheese,salmon,green tea,french fries,frozen smoothie,hot dogs,,,,,,,,,,,,,,
62,grated cheese,shrimp,pasta,tomatoes,milk,frozen smoothie,sandwich,,,,,,,,,,,,,
27,herb & pepper,whole wheat pasta,olive oil,pancakes,eggs,,,,,,,,,,,,,,,
80,spaghetti,antioxydant juice,,,,,,,,,,,,,,,,,,
42,chocolate,milk,almonds,eggs,strawberries,white wine,,,,,,,,,,,,,,
100,french fries,strawberries,,,,,,,,,,,,,,,,,,
6,mineral water,,,,,,,,,,,,,,,,,,,
77,eggs,,,,,,,,,,,,,,,,,,,
73,escalope,,,,,,,,,,,,,,,,,,,
57,cake,,,,,,,,,,,,,,,,,,,
24,whole wheat pasta,antioxydant juice,body spray,green tea,,,,,,,,,,,,,,,,
72,mineral water,oil,frozen smoothie,,,,,,,,,,,,,,,,,
98,french fries,champagne,,,,,,,,,,,,,,,,,,
79,chocolate,french fries,,,,,,,,,,,,,,,,,,
6,frozen vegetables,spaghetti,eggs,,,,,,,,,,,,,,,,,
54,hot dogs,,,,,,,,,,,,,,,,,,,
95,chocolate,cookies,,,,,,,,,,,,,,,,,,
81,pancakes,,,,,,,,,,,,,,,,,,,
85,shrimp,butter,chicken,salmon,,,,,,,,,,,,,,,,
48,chocolate,cookies,babies food,,,,,,,,,,,,,,,,,
65,pepper,spaghetti,cake,chocolate,french fries,fresh bread,,,,,,,,,,,,,,
23,avocado,oil,cereals,french fries,,,,,,,,,,,,,,,,
45,herb & pepper,spaghetti,mineral water,spinach,eggs,oil,cooking oil,green tea,shampoo,tomato juice,low fat yogurt,,,,,,,,,
57,herb & pepper,frozen vegetables,ground beef,pepper,spaghetti,mint green tea,french fries,,,,,,,,,,,,,
45,french fries,,,,,,,,,,,,,,,,,,,
48,green tea,tomato juice,,,,,,,,,,,,,,,,,,
98,eggs,whole wheat rice,chocolate,,,,,,,,,,,,,,,,,
25,grated cheese,herb & pepper,red wine,spaghetti,mineral water,salmon,eggs,cooking oil,green tea,,,,,,,,,,,
22,french fries,cookies,shallot,tomato juice,fresh bread,low fat yogurt,,,,,,,,,,,,,,
44,burgers,fresh tuna,spaghetti,muffins,honey,,,,,,,,,,,,,,,
73,herb & pepper,ground beef,spaghetti,eggs,chicken,,,,,,,,,,,,,,,
70,grated cheese,muffins,tomato juice,mayonnaise,,,,,,,,,,,,,,,,
49,whole wheat pasta,yams,mineral water,muffins,frozen smoothie,hot dogs,energy drink,,,,,,,,,,,,,
98,burgers,spaghetti,soup,milk,olive oil,salmon,eggs,blueberries,,,,,,,,,,,,
63,chocolate,champagne,magazines,,,,,,,,,,,,,,,,,
66,frozen vegetables,spaghetti,yams,mineral water,french wine,green grapes,rice,chocolate,,,,,,,,,,,,
57,tomato sauce,chocolate,,,,,,,,,,,,,,,,,,
62,milk,eggs,,,,,,,,,,,,,,,,,,
45,pet food,,,,,,,,,,,,,,,,,,,
27,yogurt cake,,,,,,,,,,,,,,,,,,,
7,green tea,,,,,,,,,,,,,,,,,,,
37,escalope,pasta,,,,,,,,,,,,,,,,,,
76,herb & pepper,ground beef,,,,,,,,,,,,,,,,,,
69,mineral water,honey,brownies,,,,,,,,,,,,,,,,,
83,turkey,eggs,cake,energy drink,,,,,,,,,,,,,,,,
30,turkey,burgers,dessert wine,ground beef,soup,salmon,eggs,gums,tomato juice,candy bars,,,,,,,,,,
99,spaghetti,mineral water,chicken,,,,,,,,,,,,,,,,,
31,turkey,ground beef,carrots,french fries,melons,,,,,,,,,,,,,,,
23,mineral water,eggs,low fat yogurt,,,,,,,,,,,,,,,,,
92,turkey,cooking oil,shampoo,,,,,,,,,,,,,,,,,
22,spaghetti,hot dogs,,,,,,,,,,,,,,,,,,
49,chocolate,green tea,,,,,,,,,,,,,,,,,,
50,grated cheese,pepper,mineral water,chocolate,eggs,cake,mashed potato,tomato juice,,,,,,,,,,,,
100,chocolate,,,,,,,,,,,,,,,,,,,
59,spaghetti,olive oil,strong cheese,pancakes,,,,,,,,,,,,,,,,
88,red wine,mineral water,soup,rice,cookies,,,,,,,,,,,,,,,
100,red wine,shrimp,spaghetti,,,,,,,,,,,,,,,,,
59,green tea,,,,,,,,,,,,,,,,,,,
66,mineral water,chicken,french fries,frozen smoothie,,,,,,,,,,,,,,,,
2,muffins,,,,,,,,,,,,,,,,,,,
82,cake,chocolate,,,,,,,,,,,,,,,,,,
14,fresh tuna,tomatoes,mineral water,soup,avocado,meatballs,olive oil,,,,,,,,,,,,,
91,turkey,french fries,,,,,,,,,,,,,,,,,,
22,burgers,turkey,herb & pepper,ground beef,pancakes,eggs,light cream,rice,champagne,fresh bread,,,,,,,,,,
65,escalope,,,,,,,,,,,,,,,,,,,
66,chocolate,escalope,fresh bread,,,,,,,,,,,,,,,,,
55,ham,spaghetti,french wine,vegetables mix,chocolate,french fries,,,,,,,,,,,,,,
80,avocado,light mayo,,,,,,,,,,,,,,,,,,
53,spaghetti,yams,butter,chocolate,,,,,,,,,,,,,,,,
69,energy bar,eggs,french fries,,,,,,,,,,,,,,,,,
66,fresh tuna,barbecue sauce,eggplant,,,,,,,,,,,,,,,,,
90,energy drink,,,,,,,,,,,,,,,,,,,
31,whole wheat rice,french fries,hot dogs,green tea,,,,,,,,,,,,,,,,
20,mineral water,chicken,green tea,,,,,,,,,,,,,,,,,
88,eggs,cake,mushroom cream sauce,,,,,,,,,,,,,,,,,
36,escalope,,,,,,,,,,,,,,,,,,,
13,antioxydant juice,escalope,,,,,,,,,,,,,,,,,,
86,shrimp,spaghetti,french fries,,,,,,,,,,,,,,,,,
27,grated cheese,spaghetti,salmon,tomato juice,,,,,,,,,,,,,,,,
69,spaghetti,green tea,,,,,,,,,,,,,,,,,,
30,champagne,protein bar,,,,,,,,,,,,,,,,,,
41,mineral water,avocado,chocolate,,,,,,,,,,,,,,,,,
98,tomatoes,champagne,green tea,,,,,,,,,,,,,,,,,
24,chicken,french fries,escalope,,,,,,,,,,,,,,,,,
12,frozen vegetables,tomatoes,eggs,green tea,frozen smoothie,light mayo,,,,,,,,,,,,,,
78,ground beef,chicken,cider,green grapes,honey,chocolate,french fries,champagne,frozen smoothie,escalope,,,,,,,,,,
78,french fries,champagne,,,,,,,,,,,,,,,,,,
31,mineral water,soup,,,,,,,,,,,,,,,,,,
62,frozen vegetables,spaghetti,milk,chocolate,babies food,,,,,,,,,,,,,,,
56,honey,whole wheat rice,,,,,,,,,,,,,,,,,,
40,whole wheat rice,chicken,tomato juice,,,,,,,,,,,,,,,,,
36,pancakes,,,,,,,,,,,,,,,,,,,
13,green tea,protein bar,tomato juice,candy bars,,,,,,,,,,,,,,,,
16,french fries,,,,,,,,,,,,,,,,,,,
100,mineral water,,,,,,,,,,,,,,,,,,,
84,escalope,,,,,,,,,,,,,,,,,,,
45,grated cheese,herb & pepper,whole wheat pasta,yams,mineral water,bacon,nonfat milk,spinach,,,,,,,,,,,,
33,spaghetti,milk,,,,,,,,,,,,,,,,,,
60,milk,chocolate,white wine,,,,,,,,,,,,,,,,,
13,sandwich,,,,,,,,,,,,,,,,,,,
82,chocolate,light mayo,,,,,,,,,,,,,,,,,,
76,shrimp,whole wheat pasta,spaghetti,meatballs,chicken,frozen smoothie,tomato juice,,,,,,,,,,,,,
26,red wine,ground beef,spaghetti,mineral water,eggs,,,,,,,,,,,,,,,
70,yams,melons,,,,,,,,,,,,,,,,,,
62,spaghetti,cooking oil,,,,,,,,,,,,,,,,,,
93,french fries,,,,,,,,,,,,,,,,,,,
85,mineral water,milk,spinach,cooking oil,chocolate,frozen smoothie,hot dogs,,,,,,,,,,,,,
18,tomato sauce,milk,,,,,,,,,,,,,,,,,,
